#objID,g,r,i,u
1237645941296726670,23.30703,21.58033,20.69043,24.99213
1237645941296726668,22.94285,21.65019,21.23634,24.38504
1237645941296726659,22.94393,21.68296,21.46736,24.26407
1237645941296726658,22.73491,21.29084,20.46786,23.90413
1237645941296726656,23.18978,21.18795,20.19106,22.95446
1237645941296726655,22.95386,21.57179,20.73878,23.00564
1237645941296726654,23.9482,21.74883,21.11636,23.72722
1237645941296726653,23.57673,21.85271,20.96195,24.6201
1237645941296726651,22.82879,21.43389,21.27187,22.69142
1237645941296726648,22.80028,20.85147,20.17375,25.7906
1237645941296726635,22.51163,21.14132,20.34311,22.06266
1237645941296726634,22.57739,21.53133,21.32976,23.16555
1237645941296726632,23.00991,21.48992,20.94311,25.70835
1237645941296726630,28.61001,19.24155,19.08431,19.25227
1237645941296726629,23.19681,21.19621,20.58702,25.96428
1237645941296726627,22.22203,20.97686,21.68931,25.9187
1237645941296726624,28.82123,19.23804,18.82611,27.43546
1237645941296726623,22.69649,21.72583,21.53654,25.8838
1237645941296726618,23.26519,21.95411,21.55095,23.82547
1237645941296726616,24.3399,21.90771,21.22852,25.07784
1237645941296726613,23.90847,21.07639,20.08006,24.89196
1237645941296726612,22.63858,20.76594,20.28991,26.14527
1237645941296726608,21.51492,20.32154,20.07849,20.70767
1237645941296726606,22.58501,21.20774,20.28136,22.8514
1237645941296726603,22.47358,21.29086,20.99285,22.82424
1237645941296726602,22.85414,20.86252,20.37545,22.33459
1237645941296726601,23.30862,21.9402,22.3961,25.75457
1237645941296726599,22.37362,20.30396,19.57564,23.63381
1237645941296726595,22.46381,21.19418,20.23706,23.17739
1237645941296726562,20.82282,19.58213,19.05856,22.11859
1237645941296726559,21.90358,21.17299,20.87152,22.59436
1237645941296726557,22.22519,21.59575,21.15259,24.73942
1237645941296726556,21.61906,20.58775,20.21351,22.75486
1237645941296726555,21.98248,20.10953,19.49694,25.552
1237645941296726553,21.9646,20.20285,19.35267,22.64356
